timestamp,open,high,low,close,volume
2021-02-26 19:59:00,100.8960,100.9540,100.7520,100.8000,1569
2021-02-26 19:50:00,100.8790,100.9370,100.7350,100.7830,523
2021-02-26 19:25:00,100.8020,100.8610,100.6590,100.7070,598
2021-02-26 19:24:00,100.7940,100.8530,100.6510,100.6980,133
2021-02-26 19:03:00,100.8020,100.8610,100.6590,100.7070,104
2021-02-26 18:54:00,100.7260,100.7850,100.5830,100.6310,612
2021-02-26 18:51:00,100.7260,100.7850,100.5830,100.6310,224
2021-02-26 18:49:00,100.7430,100.8020,100.6000,100.6480,104
2021-02-26 18:47:00,100.7520,100.8100,100.6080,100.6560,104
2021-02-26 18:46:00,100.7260,100.7850,100.5830,100.6310,104
2021-02-26 18:45:00,100.7260,100.7850,100.5830,100.6310,836
2021-02-26 18:44:00,100.7260,100.7850,100.5830,100.6310,209
2021-02-26 18:38:00,100.7260,100.7850,100.5830,100.6310,209
2021-02-26 18:23:00,100.7260,100.7850,100.5830,100.6310,104
2021-02-26 18:17:00,100.8110,100.8700,100.5830,100.6310,298
2021-02-26 18:13:00,100.7350,100.7930,100.5910,100.6390,133
2021-02-26 18:05:00,100.7350,100.7930,100.5910,100.6390,104
2021-02-26 18:01:00,100.8020,100.8610,100.6590,100.7070,104
2021-02-26 17:59:00,100.7690,100.8270,100.6250,100.6730,249
2021-02-26 17:44:00,100.8110,100.8700,100.6670,100.7150,104
2021-02-26 17:32:00,100.7690,100.8270,100.6250,100.6730,418
2021-02-26 17:26:00,100.7770,100.8360,100.6340,100.6810,313
2021-02-26 17:25:00,100.8280,100.8870,100.6840,100.7320,209
2021-02-26 17:24:00,100.8360,100.8950,100.6930,100.7410,131
2021-02-26 17:11:00,100.7010,100.7600,100.5240,100.5710,523
2021-02-26 17:09:00,100.7260,100.7930,100.5830,100.6310,732
2021-02-26 17:00:00,100.7260,100.7850,100.5830,100.6310,104
2021-02-26 16:59:00,100.8110,100.8700,100.5830,100.6310,309
2021-02-26 16:58:00,100.7350,100.7930,100.5910,100.6390,104
2021-02-26 16:52:00,100.8110,100.8700,100.6670,100.7150,104
2021-02-26 16:40:00,100.7010,100.7600,100.5580,100.6050,209
2021-02-26 16:36:00,100.6590,100.7260,100.3550,100.4020,9380
2021-02-26 16:34:00,100.6590,100.7170,100.5150,100.5630,1046
2021-02-26 16:31:00,100.6590,100.7180,100.5160,100.5640,1647
2021-02-26 16:30:00,100.6500,100.7170,100.5070,100.5630,219
2021-02-26 16:27:00,100.6590,100.7170,100.5150,100.5630,1255
2021-02-26 16:25:00,100.6590,100.7170,100.5150,100.5630,209
2021-02-26 16:17:00,100.7260,100.7850,100.5240,100.5710,836
2021-02-26 16:16:00,100.6840,100.7430,100.5410,100.5880,132
2021-02-26 16:14:00,100.6670,100.7260,100.5240,100.5710,46045
2021-02-26 16:13:00,100.6670,100.7260,100.4980,100.5460,5516
2021-02-26 16:11:00,100.6670,100.7260,100.5240,100.5710,165
2021-02-26 16:09:00,100.7180,100.7850,100.5740,100.6310,523
2021-02-26 16:08:00,100.7260,100.7850,100.5240,100.5710,325
2021-02-26 16:07:00,100.6670,100.7430,100.5240,100.5880,344
2021-02-26 16:06:00,100.7260,100.7850,100.5240,100.5710,312
2021-02-26 16:05:00,100.6670,100.7260,100.5240,100.5710,53285
2021-02-26 16:04:00,100.6670,100.7260,100.5240,100.5710,76174
2021-02-26 16:03:00,100.6670,101.0730,100.5240,100.5710,4224
2021-02-26 16:02:00,100.6670,100.7260,100.5240,100.5710,14936
2021-02-26 16:01:00,100.6670,100.7260,100.5240,100.5710,2736
2021-02-26 16:00:00,100.6250,100.9290,100.4820,100.7740,1808496
